speaker,language,sex,duration,age,language_long,language_family,speech_rate,info_rate
CMN_M2(Ye),CMN,M,13.31,24,Mandarin Chinese,Sino-Tibetan,6.010518407212622,41.83320811419985
CMN_M2(Ye),CMN,M,9.46,24,Mandarin Chinese,Sino-Tibetan,6.765327695560253,47.08668076109936
CMN_M2(Ye),CMN,M,10.11,24,Mandarin Chinese,Sino-Tibetan,6.82492581602374,47.50148367952523
CMN_M2(Ye),CMN,M,8.25,24,Mandarin Chinese,Sino-Tibetan,6.909090909090909,48.087272727272726
CMN_M2(Ye),CMN,M,15.8,24,Mandarin Chinese,Sino-Tibetan,6.329113924050633,44.050632911392405
CMN_M2(Ye),CMN,M,10.03,24,Mandarin Chinese,Sino-Tibetan,6.979062811565305,48.57427716849452
CMN_M2(Ye),CMN,M,9.81,24,Mandarin Chinese,Sino-Tibetan,6.625891946992864,46.11620795107033
CMN_M2(Ye),CMN,M,12.5,24,Mandarin Chinese,Sino-Tibetan,6.16,42.8736
CMN_M2(Ye),CMN,M,12.29,24,Mandarin Chinese,Sino-Tibetan,6.346623270951994,44.17249796582588
CMN_M2(Ye),CMN,M,11.7,24,Mandarin Chinese,Sino-Tibetan,6.495726495726496,45.21025641025641
CMN_M2(Ye),CMN,M,10.29,24,Mandarin Chinese,Sino-Tibetan,6.608357628765792,45.994169096209916
CMN_M2(Ye),CMN,M,8.78,24,Mandarin Chinese,Sino-Tibetan,6.492027334851937,45.18451025056948
CMN_M4(Yi),CMN,M,11.07,31,Mandarin Chinese,Sino-Tibetan,5.420054200542006,37.72357723577236
CMN_M4(Yi),CMN,M,14.42,31,Mandarin Chinese,Sino-Tibetan,5.0624133148405,35.23439667128988
CMN_M4(Yi),CMN,M,14.08,31,Mandarin Chinese,Sino-Tibetan,5.184659090909091,36.08522727272727
CMN_M4(Yi),CMN,M,16.35,31,Mandarin Chinese,Sino-Tibetan,4.892966360856269,34.05504587155963
